decision_year,set_conversion_technologies,output_carrier,input_carrier,reference_carrier,set_nodes,revenue,capex,fixed_opex,variable_opex,input_carrier_cost,tech_co2_cost,carrier_co2_cost,profitability,values_changed
1,wind_onshore,electricity,,electricity,DE,1347.751916625065,1098.7799273228318,295.89548175251934,17.767583291027314,0.0,0.0,0.0,-64.69107574131348,False
1,wind_onshore,electricity,,electricity,IT,918.0818471904522,1098.7799273228318,295.89548175251934,11.819652285982002,0.0,0.0,0.0,-488.4132141708809,False
2,heat_pump,heat,electricity,heat,CH,2046.2905821641314,820.9423053826627,181.28632819409253,0.0,1165.4055898735276,0.0,0.0,-121.3436412861513,False
2,heat_pump,heat,electricity,heat,DE,1773.3208577813925,820.9423053826627,181.28632819409253,0.0,730.0451089356169,0.0,0.0,41.04711526902042,False
2,heat_pump,heat,electricity,heat,IT,1936.1785970074527,820.9423053826627,181.28632819409253,0.0,936.5689248627056,0.0,0.0,-2.6189614320080636,False
2,natural_gas_boiler,heat,natural_gas,heat,CH,2170.8818774133306,483.1047689795761,232.17833731280268,0.0,1431.44353267081,0.0,790.959231250376,-766.8039928002343,False
2,natural_gas_boiler,heat,natural_gas,heat,DE,1881.2920054381868,483.1047689795761,232.17833731280268,0.0,1357.193441929522,0.0,749.9315599850873,-941.1161027688014,False
2,natural_gas_boiler,heat,natural_gas,heat,IT,2054.065568376817,483.1047689795761,232.17833731280268,0.0,1314.6272236355835,0.0,726.4111468283156,-702.2559083794611,False
2,natural_gas_turbine,electricity,natural_gas,electricity,CH,7476.331820505843,763.9688581438644,346.25382564393266,206.087305103496,5080.84555587982,0.0,2807.474834499269,-1728.2985587645385,False
2,natural_gas_turbine,electricity,natural_gas,electricity,DE,4819.4609681700595,763.9688581438644,346.25382564393266,187.86501533028735,4631.595952826512,0.0,2559.237225008742,-3669.459908783279,False
2,natural_gas_turbine,electricity,natural_gas,electricity,IT,8831.022043499588,763.9688581438644,346.25382564393266,266.8565061875688,6579.040338462275,0.0,3635.3181733719953,-2760.415658310048,False
2,photovoltaics,electricity,,electricity,CH,434.5621274764797,400.89565267850776,150.42624389826162,0.33730297351567423,0.0,0.0,0.0,-117.09707207380535,False
2,photovoltaics,electricity,,electricity,DE,224.5604919129699,400.89565267850776,150.42624389826162,0.2894352445886134,0.0,0.0,0.0,-327.05083990838807,False
2,photovoltaics,electricity,,electricity,IT,579.4670738477796,400.89565267850776,150.42624389826162,0.3733702449889875,0.0,0.0,0.0,27.77180702602124,False
2,reservoir_hydro,electricity,,electricity,CH,2329.5592666160055,2526.9618055218752,745.7650272179205,41.924538824913554,0.0,0.0,0.0,-985.0921049487038,False
2,reservoir_hydro,electricity,,electricity,DE,6172.076776011325,2526.9618055218752,745.7650272179205,138.2078864244275,0.0,0.0,0.0,2761.1420568471012,False
2,reservoir_hydro,electricity,,electricity,IT,4052.1871823434553,2526.9618055218752,745.7650272179205,65.53420391422256,0.0,0.0,0.0,713.926145689437,False
2,run-of-river_hydro,electricity,,electricity,CH,2503.0072758641654,2905.9629833961094,702.0629269387817,57.37177336551709,0.0,0.0,0.0,-1162.390407836243,False
2,run-of-river_hydro,electricity,,electricity,DE,5800.454842248866,2905.9629833961094,702.0629269387817,172.97102887873206,0.0,0.0,0.0,2019.4579030352427,False
2,run-of-river_hydro,electricity,,electricity,IT,4224.617555912086,2905.9629833961094,702.0629269387817,93.01402397432005,0.0,0.0,0.0,523.5776216028745,False
2,wind_offshore,electricity,,electricity,CH,,,,,,,,-360.68841022745295,True
2,wind_offshore,electricity,,electricity,DE,2493.3580983896254,2176.3733270110088,627.9711059967925,49.70207560927707,0.0,0.0,0.0,-360.68841022745295,False
2,wind_offshore,electricity,,electricity,IT,,,,,,,,-360.68841022745295,True
2,wind_onshore,electricity,,electricity,CH,638.8598313837324,1057.4297686243294,286.08203951578616,5.422800168536927,0.0,0.0,0.0,-710.0747769249201,False
2,wind_onshore,electricity,,electricity,DE,1545.839388450835,1057.4297686243294,286.08203951578616,17.145656012136197,0.0,0.0,0.0,185.18192429858325,False
2,wind_onshore,electricity,,electricity,IT,1297.8634739532592,1057.4297686243294,286.08203951578616,8.998891095764638,0.0,0.0,0.0,-54.64722528262098,False
