time,AT,BE,BG,CH,CZ,DE,EL,ES,FI,FR,HR,HU,IE,IT,LV,PT,RO,SE,SI,SK
38,0.200590032,0.132314411,0.139876003,0.145010546,0.091201549,0.391354848,0.084557732,0.708334091,0.690627158,0.256883383,0.494823596,0.170818893,0.968347486,0.345891509,0.070441488,0.21110326,0.174308881,0.709405678,0.228562378,0.136668928
39,0.198625048,0.131926333,0.149443447,0.137941038,0.095980721,0.384433679,0.079777642,0.297034512,0.692394655,0.219375471,0.518096156,0.184750145,0.966704177,0.334458095,0.069308175,0.204681045,0.167562436,0.709738512,0.239313924,0.164778334
40,0.20060766,0.131673105,0.149040835,0.12971823,0.103001927,0.381355393,0.077049579,0.144378438,0.693189586,0.18384619,0.548548905,0.211752156,0.967615108,0.318465582,0.068886096,0.196549095,0.179059224,0.709640831,0.244596666,0.216459097
41,0.201916621,0.131902539,0.152174886,0.124910365,0.122183501,0.381198124,0.074293918,0.138554279,0.694106012,0.185278345,0.628681091,0.273707628,0.969615441,0.298972048,0.068408619,0.176312645,0.195344823,0.709127015,0.239341673,0.29743611
42,0.201638498,0.132434056,0.152174886,0.116539484,0.102548273,0.380720074,0.074199252,0.138554279,0.694816183,0.185682897,0.679985268,0.303065972,0.969476619,0.321504913,0.059904529,0.18532732,0.207566964,0.709085782,0.227109624,0.409552502
43,0.211230886,0.133911823,0.146811868,0.105725891,0.105606557,0.375278474,0.085538029,0.136313897,0.694019296,0.193445146,0.661438467,0.287822978,0.966556049,0.335571443,0.059494192,0.194029023,0.219632393,0.709170423,0.218273018,0.506859779
44,0.206587934,0.135376353,0.139263632,0.107325856,0.091595073,0.375795607,0.084271427,0.135368206,0.693989693,0.190628491,0.666144824,0.213719228,0.966527961,0.367347833,0.058764258,0.206222851,0.210579357,0.7089373,0.216870291,0.497965677
45,0.211217673,0.141249109,0.147822028,0.107851341,0.088192397,0.37608452,0.085668339,0.136313897,0.693701529,0.184927742,0.657837711,0.291940759,0.966557707,0.373606525,0.059156847,0.193419834,0.203401738,0.709557217,0.219114841,0.439985602
46,0.2064712,0.147225404,0.139263632,0.110144656,0.08506699,0.375883449,0.085108652,0.135368206,0.695675112,0.183702863,0.723174341,0.260039646,0.966225014,0.374265892,0.060538767,0.233946032,0.200004507,0.709873148,0.220946352,0.4759617
47,0.201133012,0.155778746,0.147822028,0.112652371,0.08501546,0.376755592,0.087998074,0.136313897,0.699184318,0.191065479,0.709968551,0.338424868,0.966454057,0.378596305,0.073957238,0.268914808,0.194242781,0.709775747,0.221553535,0.494452105
48,0.195390813,0.15536972,0.147822028,0.111691291,0.080898316,0.380520441,0.088396953,0.136313897,0.697121626,0.19449802,0.716674514,0.347714295,0.966515351,0.365709364,0.083905818,0.294236691,0.186693789,0.709203938,0.219045383,0.59972811
49,0.191961488,0.15258384,0.147822028,0.109985297,0.08063447,0.377752941,0.091944368,0.136313897,0.692113828,0.183086834,0.691214216,0.368696349,0.966500473,0.371302047,0.208403528,0.372341805,0.181012648,0.709130564,0.216591414,0.360506437
50,0.192911978,0.148018623,0.147822028,0.106063608,0.079614494,0.378885614,0.104672352,0.136313897,0.69210707,0.18115942,0.691502309,0.473310439,0.966264296,0.372923146,0.242136386,0.374736485,0.180639137,0.709149641,0.214764978,0.585717591
