decision_year,set_conversion_technologies,output_carrier,input_carrier,reference_carrier,set_nodes,revenue,capex,fixed_opex,variable_opex,input_carrier_cost,tech_co2_cost,carrier_co2_cost,profitability
1,wind_offshore,electricity,,electricity,IT,0.0,2280.720627620028,675.2030333189175,0.0,0.0,0.0,0.0,-2955.9236609389454
1,wind_onshore,electricity,,electricity,CH,446.6993524121389,1098.7799273228318,295.89548175251934,5.617357294259784,0.0,0.0,0.0,-953.593413957472
1,wind_onshore,electricity,,electricity,DE,1334.0182608612656,1098.7799273228318,295.89548175251934,17.645587428963637,0.0,0.0,0.0,-78.30273564304912
1,wind_onshore,electricity,,electricity,IT,915.5187912241009,1098.7799273228318,295.89548175251934,11.819652280938932,0.0,0.0,0.0,-490.97627013218914
2,heat_pump,heat,electricity,heat,CH,2046.29058215167,820.9423053826627,181.28632819409253,0.0,1048.0331355074659,0.0,0.0,-3.9711869325512907
2,heat_pump,heat,electricity,heat,DE,1773.3208577817866,820.9423053826627,181.28632819409253,0.0,730.0451089358407,0.0,0.0,41.0471152691905
2,heat_pump,heat,electricity,heat,IT,1916.944485697521,820.9423053826627,181.28632819409253,0.0,873.6687368514879,0.0,0.0,41.04711526927804
2,natural_gas_boiler,heat,natural_gas,heat,CH,2170.8818774145498,483.1047689795761,232.17833731280268,0.0,1431.443532672616,0.0,790.9592312513649,-766.8039928018102
2,natural_gas_boiler,heat,natural_gas,heat,DE,1881.2920054379888,483.1047689795761,232.17833731280268,0.0,1357.1934419292918,0.0,749.9315599849874,-941.1161027686694
2,natural_gas_boiler,heat,natural_gas,heat,IT,2033.66036100286,483.1047689795761,232.17833731280268,0.0,1314.6272236351758,0.0,726.4111468281553,-722.66111575285
2,natural_gas_turbine,electricity,natural_gas,electricity,CH,6435.353987087745,763.9688581438644,346.25382564393266,206.0873050809929,5080.84555532477,0.0,2807.474834192715,-2769.27639129853
2,natural_gas_turbine,electricity,natural_gas,electricity,DE,4711.870734872044,763.9688581438644,346.25382564393266,183.67109386039044,4528.199640999483,0.0,2502.104501677295,-3612.327185452921
2,natural_gas_turbine,electricity,natural_gas,electricity,IT,6814.992927170344,763.9688581438644,346.25382564393266,220.88582212832907,5445.685978348207,0.0,3009.0712604133428,-2970.872817507332
2,photovoltaics,electricity,,electricity,CH,407.46569435473094,400.89565267850776,150.42624389826162,0.3373029739553242,0.0,0.0,0.0,-144.19350519599374
2,photovoltaics,electricity,,electricity,DE,224.56049191155392,400.89565267850776,150.42624389826162,0.2894352445761,0.0,0.0,0.0,-327.0508399097916
2,photovoltaics,electricity,,electricity,IT,571.7679476976041,400.89565267850776,150.42624389826162,0.40126848724390995,0.0,0.0,0.0,20.044782633590785
2,reservoir_hydro,electricity,,electricity,CH,2130.686642596204,2526.9618055218752,745.7650272179205,45.249819779667575,0.0,0.0,0.0,-1187.2900099232597
2,reservoir_hydro,electricity,,electricity,DE,6172.076775823963,2526.9618055218752,745.7650272179205,138.20788642692187,0.0,0.0,0.0,2761.1420566572447
2,reservoir_hydro,electricity,,electricity,IT,3714.8954662716837,2526.9618055218752,745.7650272179205,76.72563992535089,0.0,0.0,0.0,365.4429936065367
2,run-of-river_hydro,electricity,,electricity,CH,2265.5875767988805,2905.9629833961094,702.0629269387817,57.3717736658742,0.0,0.0,0.0,-1399.8101072018849
2,run-of-river_hydro,electricity,,electricity,DE,5800.601353480606,2905.9629833961094,702.0629269387817,173.11754010419742,0.0,0.0,0.0,2019.4579030415175
2,run-of-river_hydro,electricity,,electricity,IT,3844.3596666277117,2905.9629833961094,702.0629269387817,93.0140242348033,0.0,0.0,0.0,143.31973205801705
2,wind_offshore,electricity,,electricity,CH,0.0,2176.3733270110088,627.9711059967925,0.0,0.0,0.0,0.0,-2804.3444330078014
2,wind_offshore,electricity,,electricity,DE,2493.3580983855054,2176.3733270110088,627.9711059967925,49.7020756049072,0.0,0.0,0.0,-360.68841022720335
2,wind_offshore,electricity,,electricity,IT,0.0,2176.3733270110088,627.9711059967925,0.0,0.0,0.0,0.0,-2804.3444330078014
2,wind_onshore,electricity,,electricity,CH,565.7650176445461,1057.4297686243294,286.08203951578616,5.423323106563398,0.0,0.0,0.0,-783.1701136021329
2,wind_onshore,electricity,,electricity,DE,1545.8412398230919,1057.4297686243294,286.08203951578616,17.147507384948923,0.0,0.0,0.0,185.1819242980273
2,wind_onshore,electricity,,electricity,IT,1187.761716671533,1057.4297686243294,286.08203951578616,11.411379319715355,0.0,0.0,0.0,-167.16147078829795
