super_edge,edge
offshore,wilhelmshaven_DE-luna_NO
offshore,wilhelmshaven_DE-norne_DK
offshore,wilhelmshaven_DE-northern_endurance_UK
offshore,wilhelmshaven_DE-northern_lights_NO
offshore,wilhelmshaven_DE-orion_UK
offshore,wilhelmshaven_DE-porthos_NL
offshore,wilhelmshaven_DE-poseidon_NO
offshore,wilhelmshaven_DE-poseidon_UK
offshore,wilhelmshaven_DE-rotterdam_NL
offshore,wilhelmshaven_DE-ruby_DK
offshore,wilhelmshaven_DE-smeaheia_NO
offshore,wilhelmshaven_DE-stenlille_DK
offshore,wilhelmshaven_DE-trudvang_NO
offshore,wilhelmshaven_DE-viking_UK
DE,wilhelmshaven_DE-zeebrugge_BE
offshore,zeebrugge_BE-acorn_UK
offshore,zeebrugge_BE-aramis_NL
offshore,zeebrugge_BE-bifrost_DK
offshore,zeebrugge_BE-coda_terminal_IS
offshore,zeebrugge_BE-greensand_DK
offshore,zeebrugge_BE-havstjerne_NO
offshore,zeebrugge_BE-hewett_UK
DE,zeebrugge_BE-koeln_DE
offshore,zeebrugge_BE-l10_area_NL
offshore,zeebrugge_BE-luna_NO
offshore,zeebrugge_BE-norne_DK
offshore,zeebrugge_BE-northern_endurance_UK
offshore,zeebrugge_BE-northern_lights_NO
offshore,zeebrugge_BE-orion_UK
offshore,zeebrugge_BE-porthos_NL
offshore,zeebrugge_BE-poseidon_NO
offshore,zeebrugge_BE-poseidon_UK
offshore,zeebrugge_BE-rotterdam_NL
offshore,zeebrugge_BE-ruby_DK
offshore,zeebrugge_BE-smeaheia_NO
offshore,zeebrugge_BE-stenlille_DK
offshore,zeebrugge_BE-trudvang_NO
offshore,zeebrugge_BE-viking_UK
DE,zeebrugge_BE-wilhelmshaven_DE
