time,LT,AT,UK,CZ,RO,IT,EL,BG,CH,PT,SK,BE,IE,PL,FI,SE,EE,ES,NO,HR,HU,DE,SI,FR,NL,DK,LV
4685,0.1927595297212721,0.224973391196166,0.0467402043378726,0.2140609460697294,0.2679617860124003,0.1706458664152815,0.249779550653713,0.2685032697358884,0.1944382666330639,0.0059226774475172,0.2010731215654093,0.1043512437124602,0.0061606899017548,0.2331679012053965,0.3172385223279525,0.2470821557104531,0.2851717388235892,0.0384199251608781,0.105723571872134,0.2049545149669142,0.209378689376861,0.1768694965269506,0.1898341564475392,0.1133279858234419,0.1559188831591864,0.1815996112065455,0.1758071724042417
4686,0.2752120015643958,0.3507921600715966,0.0992882732262656,0.3290624768473674,0.3843858629280575,0.3010683972668469,0.3791263215214439,0.3855486320804663,0.3278787047806257,0.1209157112401298,0.3086000467569595,0.1851171403164795,0.0387479814539833,0.3362018738498045,0.4039372085859538,0.3489300194007474,0.3903523073521298,0.1788178942640205,0.1604976413083596,0.3274792040836762,0.3285055038638237,0.2782692568938124,0.3101641250064866,0.2319413792851916,0.2704348218008516,0.280957610612008,0.2621227626860962
4687,0.3686455949768361,0.4485249139510501,0.1576395375470819,0.4317753101638196,0.4836360763527621,0.4303511871614006,0.5001278431985199,0.4804628868664075,0.4183561867914867,0.2587217396659712,0.4220177987014364,0.2422562584540994,0.0832469177344339,0.4268678845845594,0.5003051150593613,0.4513821567838121,0.4943777691826349,0.316847059620824,0.2175466121594021,0.4485769912228208,0.4345032383995993,0.3718174144534536,0.405462189292423,0.3491369025414575,0.3819679677178697,0.375285167313529,0.3486008107802271
4688,0.4711063647586577,0.5102438029495846,0.2151182483067473,0.5262114207712164,0.5398818151852923,0.5389785257292905,0.5953225368464344,0.5596892150647306,0.4596653256133459,0.4027443114338879,0.5041076507685115,0.2872473794208342,0.1005346881103008,0.5044009333026249,0.55683658026337,0.5413790931095058,0.5918185383632516,0.4534225246516925,0.276785029860386,0.5525923289898401,0.5191356922836852,0.4495603563197811,0.4967903131348495,0.4550952248049795,0.483258567216377,0.4574553013749325,0.4276655265163808
4689,0.532273279429553,0.5429144380203242,0.2739499926090606,0.5848350324935365,0.5924761415866658,0.617944909021889,0.6507803531373388,0.5973371515669097,0.5310876498290767,0.531194226742625,0.506133347991627,0.3192663719562977,0.1390564237318609,0.5528630644865218,0.5919539003545625,0.5988882282173047,0.6262702226163349,0.5671853161744749,0.3212614650349346,0.6250665949993954,0.5517937504741064,0.5135293437843284,0.5441792489510738,0.5442204403636705,0.5606607715811615,0.5091396027049282,0.4942220368116857
4690,0.5353900162930245,0.5486717890985477,0.330971951556388,0.6097289497849835,0.5748085381689138,0.6696913071255582,0.6614076302888436,0.6172440171959521,0.6023804743556006,0.6326984656282401,0.5561890082447037,0.2977459841024794,0.1412261214684204,0.593460557825061,0.5872661408800715,0.6274953672166145,0.6662485419219729,0.6507910115956319,0.3579140451276222,0.6564052674002414,0.5673464706214706,0.5463081403567972,0.5399345782091255,0.6082583030014018,0.5813571883642866,0.5641620903509706,0.5644000352538512
4691,0.5009938919199416,0.5534259667424786,0.3809534756045579,0.5446588026059804,0.546497491034908,0.6686048021075335,0.625098949793543,0.5791972851755194,0.5727775529103271,0.6978331790768624,0.5168423978984664,0.3090779740090933,0.1944000696461076,0.5815913958905583,0.5628632430774284,0.6154305245164969,0.6389909653224172,0.699253540491733,0.381058843870497,0.6319249005434439,0.5680536375350873,0.5546175733675317,0.5607214690904874,0.6450837882859223,0.5176071060112372,0.6050444113846696,0.5334988771483559
4692,0.4349478984363434,0.5515667823836006,0.3884854275218172,0.5380293963831257,0.4707152874587813,0.6169042395503448,0.5409303681397418,0.4982919762071195,0.5265362545678343,0.717334669473224,0.4822151510675316,0.3095427475389857,0.2092013656332984,0.5291193244952455,0.4981616567595084,0.5545519014080058,0.5763751389673184,0.7005506668649492,0.3753063792490513,0.5750009759774625,0.4981981105074894,0.5223027744903785,0.5167206024518829,0.6397052369317207,0.4733327062909644,0.5906973225798018,0.4921329504843845
4693,0.3994674903178023,0.485686075034742,0.393854621522019,0.4355235915961061,0.3651463007075894,0.528775666877977,0.4098086265601822,0.4063498409502986,0.4859369047127499,0.681949045757834,0.3927558736805571,0.2927956252861594,0.1950899966276013,0.444339588946416,0.4037697735556603,0.4740626252607173,0.464559072979752,0.6527242786443812,0.3480106852153786,0.4802423936196537,0.4394002808370419,0.4662309660200775,0.4135027769519352,0.5797895463189198,0.3989451827035995,0.5384522585701462,0.4326246258893352
4694,0.2853595601367129,0.3680949734197818,0.3546846693006237,0.3336635006867425,0.2330336297522905,0.3928543005220093,0.2320080410004401,0.2464287816597217,0.4089197627512761,0.5991914858336425,0.2966138269538212,0.2755584021771626,0.1983432824304383,0.3264460264887437,0.2970986484824509,0.3640624536714251,0.3301807274682874,0.5608076539892012,0.2995552386893977,0.3343899630123227,0.2946350656210565,0.3741150042288518,0.2881109966213881,0.4736175599481611,0.3196696739428461,0.4544118870240798,0.3221802158630389
