time,LT,AT,UK,CZ,RO,IT,EL,BG,CH,PT,SK,BE,IE,PL,FI,SE,EE,ES,NO,HR,HU,DE,SI,FR,NL,DK,LV
6231,0.257754387333172,0.0,0.6054437544157996,0.0,0.0881339625639723,0.0429206688317328,0.4702119310948419,0.243202985328479,0.0,0.1106156177571178,0.0,0.0,0.1938276079812364,0.1454441345509019,0.3286557663203797,0.6307044849920068,0.7669031376228248,0.249828374074514,0.4307711553052952,0.0252073185067345,0.0178917350528611,0.1413996746402407,0.0,0.0532280351125608,0.0804400361718227,0.8847743101462434,0.536895320160733
6232,0.2503723842664753,0.0,0.600422618909965,0.0,0.0956425353604904,0.048261413436639,0.4750367382595288,0.2355174764137708,0.0,0.1268218556222959,0.0,0.0,0.192786378164848,0.1509496950307961,0.3594425495648936,0.6450933231880991,0.8102333952138766,0.255114144233154,0.44052027006697,0.0324512325571132,0.0223269581053641,0.15861290990907,0.0,0.0466835706675317,0.0828793705298258,0.8910239434091236,0.583694682721781
6233,0.2388446271883654,0.0014993231276508,0.5972851357482524,0.0016659145862787,0.0978991181262915,0.0565362743407869,0.4777839610592099,0.2073752946523723,0.0,0.1380935282110433,0.0021418901823583,0.0,0.1948017272773739,0.1667325781876778,0.392746485960563,0.6538193624030495,0.8687677168094236,0.2525567076326334,0.4423552996814073,0.0388302690673483,0.0272628487640041,0.1613502218331681,0.0,0.0381198657244461,0.080873419048167,0.8997599732378202,0.6086939488998999
6234,0.2902278676355331,0.0143428093135048,0.5995360314139158,0.0124145464802335,0.0966661554556865,0.0679734941705743,0.4850084348958788,0.1813782512359524,0.0,0.1413515147472333,0.0094274811350459,0.0,0.1979290737228349,0.2041297824256407,0.419844995875294,0.6509213841783955,0.9181084492185232,0.2460388511929575,0.4593119847296338,0.051291838879905,0.0353867184370315,0.1706300150003798,0.0026377584109665,0.0298831065790811,0.0736676001778502,0.9033811505141482,0.672903940569807
6235,0.3613787481975611,0.0215849903585146,0.5913325811345171,0.0245692501593746,0.0921690888866244,0.0807885305260567,0.49492804233397,0.1656870539592905,0.0,0.1325215181268063,0.0155944273375379,0.0,0.2008847750590568,0.2560326272046373,0.4244368584158903,0.6207846632088302,0.9379354056261768,0.2404179504644717,0.4616165699397846,0.059556967570307,0.0356978827705045,0.1869521942097894,0.002128180355512,0.0271474225599543,0.0687290542956787,0.9053430403007288,0.7313860750249924
6236,0.4202449861688197,0.0240705285287727,0.586336452092189,0.0443549506690857,0.0887742788341071,0.0939783078289408,0.5079178821906593,0.1507273682034753,0.0,0.1110067141159713,0.0217313350651197,0.0,0.201442962126961,0.3048336236126576,0.4162183599669962,0.6048050438573489,0.9463138217319292,0.2347593218373816,0.4716819269822146,0.0648598023366917,0.0314349033901443,0.2008959580661161,0.0,0.030194767773495,0.0645951199572211,0.904073549356194,0.7706516583655674
6237,0.4701989020326609,0.024019601112807,0.5843543054482208,0.0597177878289543,0.0900595031509557,0.106451865237977,0.5243929220662084,0.1431007035881565,0.0,0.0844083089052114,0.0248959203361396,0.0,0.1967964539849222,0.3390854604885416,0.40263991151097,0.5920978900870126,0.9526777246530774,0.2293057978413989,0.4800276248196847,0.0676844189835276,0.0250872356084044,0.2125417822774248,0.0,0.036939973419066,0.059800624935066,0.895485100093703,0.7938284884683315
6238,0.5077606457178441,0.0212736813359591,0.5815707501277564,0.0709112511490362,0.0944450581245488,0.1159548473273477,0.5341747281254867,0.1502870821229669,0.0,0.057713897321929,0.0260983022459278,0.0,0.1864107043168966,0.3644709777827891,0.3824772497242398,0.5781086493395424,0.9571246209494756,0.2213859507589918,0.4818527237680537,0.0674240245206376,0.0160647207666217,0.213254692478221,0.0,0.0457937017772688,0.0545964322981493,0.8764728409426334,0.8208770785434595
6239,0.5518172317641752,0.0194633680184412,0.5762079307072981,0.0799622380782627,0.1002040062945799,0.1226890035122195,0.5397505880837433,0.1724418603840803,0.0,0.0371402941672614,0.0270862808234777,0.0057587171209681,0.1738023160558592,0.3839734033372194,0.3697441859441522,0.5760669238234682,0.951873006558169,0.2121500916595184,0.497379531584278,0.0642340546538024,0.0105666205056196,0.2076955809793942,0.0,0.0554192740481754,0.0474343472869915,0.8550638347224732,0.8249588452929635
6240,0.5995114751739489,0.0176984406923038,0.5683736539078902,0.0858084228271625,0.1044518003001231,0.1249520235708662,0.5428297704462236,0.2023384545755623,0.0,0.0212916059540452,0.0272077190460353,0.0146564058740755,0.1664402999675582,0.3983190911545998,0.36193875287448,0.5706483446828757,0.94516278480498,0.2016565081624909,0.4945578431975411,0.0608452970852749,0.0066526553828681,0.1926081135466776,0.0,0.0653891910018361,0.0393698792430484,0.8313442903588737,0.8240905679077377
