time,AT,BE,BG,CZ,CH,DE,DK,EE,ES,FI,FR,UK,EL,HR,HU,IE,IT,LT,LV,NL,NO,PL,PT,RO,SE,SI,SK
142,0.42194092827004215,0.27027027027027023,0.3546099290780142,0.390625,0.4132231404958678,0.3389830508474576,0.35211267605633806,0.3401360544217687,0.2747252747252747,0.38759689922480617,0.2881844380403458,0.29850746268656714,0.273972602739726,0.35714285714285715,0.38910505836575876,0.3115264797507788,0.35211267605633806,0.33557046979865773,0.33222591362126247,0.2695417789757412,0.4310344827586207,0.37593984962406013,0.25380710659898476,0.40322580645161293,0.3846153846153846,0.39840637450199207,0.4
143,0.41493775933609955,0.27624309392265195,0.36363636363636365,0.38759689922480617,0.3968253968253968,0.33003300330033003,0.3496503496503497,0.3389830508474576,0.2785515320334262,0.38759689922480617,0.28735632183908044,0.29940119760479045,0.27548209366391185,0.3597122302158274,0.3921568627450981,0.3125,0.3546099290780142,0.33670033670033667,0.3333333333333333,0.2785515320334262,0.4310344827586207,0.3802281368821293,0.2557544757033248,0.4081632653061224,0.3846153846153846,0.39840637450199207,0.40322580645161293
144,0.4098360655737705,0.28328611898017,0.3717472118959108,0.38759689922480617,0.3846153846153846,0.3225806451612903,0.341296928327645,0.3389830508474576,0.28169014084507044,0.3861003861003861,0.2898550724637681,0.3021148036253776,0.2770083102493075,0.36101083032490977,0.39370078740157477,0.3164556962025316,0.3546099290780142,0.3401360544217687,0.33444816053511706,0.2849002849002849,0.4310344827586207,0.3831417624521073,0.2577319587628866,0.4098360655737705,0.3861003861003861,0.3968253968253968,0.4048582995951417
145,0.4048582995951417,0.2881844380403458,0.3787878787878788,0.3861003861003861,0.37735849056603776,0.3164556962025316,0.33112582781456956,0.3389830508474576,0.2849002849002849,0.3861003861003861,0.29325513196480935,0.303951367781155,0.2777777777777778,0.3623188405797102,0.3968253968253968,0.3205128205128205,0.35335689045936397,0.3484320557491289,0.33557046979865773,0.28735632183908044,0.4310344827586207,0.3846153846153846,0.2610966057441253,0.4115226337448559,0.3861003861003861,0.39370078740157477,0.40322580645161293
146,0.4,0.29069767441860467,0.3846153846153846,0.3846153846153846,0.36900369003690037,0.3125,0.3225806451612903,0.3389830508474576,0.2881844380403458,0.3846153846153846,0.2958579881656805,0.3058103975535168,0.2785515320334262,0.3623188405797102,0.39840637450199207,0.3246753246753247,0.3496503496503497,0.35842293906810035,0.3401360544217687,0.2881844380403458,0.4310344827586207,0.3861003861003861,0.2638522427440633,0.4115226337448559,0.3861003861003861,0.3921568627450981,0.40322580645161293
147,0.3952569169960475,0.29325513196480935,0.38910505836575876,0.3802281368821293,0.36496350364963503,0.30959752321981426,0.3164556962025316,0.3389830508474576,0.2898550724637681,0.3846153846153846,0.2976190476190476,0.3076923076923077,0.2801120448179272,0.36101083032490977,0.4,0.32679738562091504,0.3484320557491289,0.3676470588235294,0.3448275862068966,0.29069767441860467,0.4329004329004329,0.3846153846153846,0.26666666666666666,0.4115226337448559,0.3846153846153846,0.390625,0.40322580645161293
148,0.3921568627450981,0.2949852507374631,0.3831417624521073,0.37453183520599254,0.3597122302158274,0.3076923076923077,0.31545741324921134,0.3401360544217687,0.29239766081871343,0.3831417624521073,0.2976190476190476,0.30959752321981426,0.27027027027027023,0.35714285714285715,0.4,0.3278688524590164,0.3448275862068966,0.37453183520599254,0.35211267605633806,0.29239766081871343,0.4366812227074236,0.38167938931297707,0.26881720430107525,0.4081632653061224,0.3831417624521073,0.38910505836575876,0.4016064257028112
149,0.38910505836575876,0.2958579881656805,0.3676470588235294,0.3676470588235294,0.3546099290780142,0.3076923076923077,0.31746031746031744,0.3401360544217687,0.2958579881656805,0.38167938931297707,0.2976190476190476,0.3115264797507788,0.2631578947368421,0.3546099290780142,0.3968253968253968,0.32894736842105265,0.3424657534246575,0.37593984962406013,0.35714285714285715,0.29325513196480935,0.4366812227074236,0.37735849056603776,0.2710027100271003,0.3952569169960475,0.38167938931297707,0.3846153846153846,0.4
150,0.3802281368821293,0.29673590504451036,0.3496503496503497,0.35587188612099646,0.3496503496503497,0.3076923076923077,0.3194888178913738,0.341296928327645,0.29850746268656714,0.3802281368821293,0.29850746268656714,0.31446540880503143,0.2544529262086514,0.3424657534246575,0.38759689922480617,0.33003300330033003,0.3333333333333333,0.37453183520599254,0.35842293906810035,0.29411764705882354,0.4366812227074236,0.36900369003690037,0.27322404371584696,0.3787878787878788,0.38167938931297707,0.3717472118959108,0.3952569169960475
151,0.3623188405797102,0.2958579881656805,0.3278688524590164,0.3401360544217687,0.3401360544217687,0.3076923076923077,0.3194888178913738,0.3436426116838488,0.2881844380403458,0.37735849056603776,0.29673590504451036,0.3164556962025316,0.25252525252525254,0.3215434083601286,0.37593984962406013,0.33112582781456956,0.3184713375796178,0.3717472118959108,0.3597122302158274,0.2958579881656805,0.4385964912280702,0.35714285714285715,0.27624309392265195,0.36363636363636365,0.3802281368821293,0.35587188612099646,0.3861003861003861
152,0.3401360544217687,0.29325513196480935,0.30959752321981426,0.3246753246753247,0.32894736842105265,0.3067484662576687,0.3184713375796178,0.3460207612456747,0.2724795640326976,0.37593984962406013,0.29239766081871343,0.3194888178913738,0.2506265664160401,0.29850746268656714,0.35842293906810035,0.33112582781456956,0.30120481927710846,0.36900369003690037,0.36101083032490977,0.2958579881656805,0.4385964912280702,0.3460207612456747,0.27322404371584696,0.3484320557491289,0.37735849056603776,0.33112582781456956,0.37453183520599254
153,0.3194888178913738,0.29069767441860467,0.2958579881656805,0.31446540880503143,0.3184713375796178,0.3058103975535168,0.31446540880503143,0.3496503496503497,0.2570694087403599,0.37593984962406013,0.2857142857142857,0.3184713375796178,0.25,0.2770083102493075,0.33670033670033667,0.32894736842105265,0.2849002849002849,0.36496350364963503,0.36101083032490977,0.2958579881656805,0.44052863436123346,0.33444816053511706,0.26246719160104987,0.33783783783783783,0.37453183520599254,0.3048780487804878,0.36363636363636365
